x_value,total_1,total_2
0,1000,1000
1,999,995
2,994,992
3,1000,992
4,1007,993
5,1012,998
6,1015,996
7,1016,996
8,1024,998
9,1026,994
10,1026,996
11,1023,999
12,1021,1003
13,1026,1001
14,1034,1005
15,1029,1003
16,1029,1008
17,1034,1004
18,1042,1006
19,1042,1007
20,1044,1013
21,1052,1019
22,1054,1018
23,1056,1023
24,1063,1027
25,1063,1029
26,1062,1027
27,1061,1033
28,1068,1035
29,1072,1038
30,1072,1034
31,1068,1034
32,1066,1038
33,1070,1044
34,1068,1044
35,1072,1045
36,1067,1047
37,1065,1043
38,1059,1049
39,1066,1055
40,1073,1052
41,1071,1055
42,1076,1059
43,1083,1057
44,1087,1058
45,1094,1061
46,1099,1057
47,1098,1052
48,1099,1047
49,1105,1049
50,1109,1055
51,1116,1056
52,1112,1058
53,1109,1057
54,1110,1054
55,1106,1056
56,1108,1059
57,1116,1062
58,1124,1067
59,1126,1066
60,1127,1061
61,1122,1066
62,1118,1066
63,1115,1064
64,1109,1065
65,1114,1061
66,1111,1061
67,1118,1063
68,1112,1063
69,1109,1064
70,1114,1070
71,1115,1070
72,1112,1073
73,1108,1079
74,1108,1078
75,1110,1080
76,1118,1086
77,1114,1090
78,1109,1091
79,1111,1086
80,1112,1082
81,1119,1085
82,1123,1088
83,1127,1086
84,1129,1092
85,1136,1096
86,1139,1100
87,1140,1095
88,1134,1090
89,1132,1093
90,1138,1091
91,1138,1087
92,1143,1086
93,1144,1084
94,1141,1085
95,1143,1085
96,1143,1088
97,1137,1092
98,1142,1088
99,1136,1087
100,1134,1085
101,1130,1081
102,1138,1082
103,1145,1084
104,1148,1087
105,1152,1090
106,1150,1091
107,1148,1091
108,1143,1096
109,1149,1097
110,1154,1101
111,1162,1106
112,1158,1105
113,1164,1101
114,1170,1106
115,1164,1107
116,1171,1111
117,1166,1107
118,1168,1110
119,1168,1105
120,1176,1106
121,1184,1112
122,1185,1113
123,1191,1119
124,1196,1123
125,1203,1124
126,1205,1124
127,1206,1125
128,1211,1127
129,1208,1128
130,1208,1128
131,1204,1125
132,1204,1124
133,1204,1124
134,1207,1126
135,1201,1132
136,1199,1132
137,1196,1131
138,1191,1128
139,1195,1128
140,1200,1130
141,1205,1129
142,1211,1129
143,1207,1135
144,1207,1141
145,1207,1141
146,1206,1142
147,1205,1141
148,1202,1139
149,1198,1136
150,1201,1135
151,1205,1135
152,1210,1132
153,1211,1133
154,1208,1135
155,1211,1141
156,1216,1136
157,1213,1138
158,1218,1141
159,1226,1147
160,1221,1144
161,1216,1141
162,1221,1145
163,1215,1148
164,1220,1152
165,1219,1148
166,1219,1146
167,1221,1147
168,1222,1149
169,1224,1150
170,1221,1155
171,1225,1152
172,1229,1155
173,1235,1161
174,1241,1161
175,1244,1156
176,1244,1152
177,1244,1158
178,1240,1154
179,1241,1152
180,1249,1152
181,1248,1156
182,1253,1155
183,1256,1150
184,1264,1151
185,1267,1150
186,1268,1146
187,1271,1145
188,1278,1149
189,1281,1155
190,1285,1161
191,1290,1156
192,1289,1153
193,1292,1153
194,1296,1151
195,1301,1152
196,1302,1155
197,1305,1160
198,1300,1164
199,1301,1168
200,1297,1173
201,1297,1179
202,1298,1176
203,1306,1175
204,1314,1180
205,1315,1182
206,1311,1178
207,1314,1174
208,1322,1173
209,1330,1173
210,1334,1178
211,1332,1174
212,1336,1171
213,1331,1177
214,1338,1183
215,1335,1187
216,1336,1185
217,1332,1181
218,1326,1179
219,1324,1183
220,1318,1183
221,1312,1179
